Trace 1 X	Trace 1 Y	Trace 2 X	Trace 2 Y	
145633	123404	259497	215611	
145612	123384	259475	215593	
145591	123365	259453	215576	
145571	123346	259430	215558	
145550	123327	259408	215541	
145529	123307	259386	215523	
145508	123288	259363	215506	
145487	123269	259341	215488	
145466	123249	259319	215471	
145446	123230	259297	215453	
145425	123211	259274	215436	
145404	123192	259252	215418	
145383	123172	259230	215401	
145362	123153	259207	215383	
145341	123134	259185	215366	
145321	123114	259163	215348	
145300	123095	259140	215331	
145279	123076	259118	215313	
145258	123057	259096	215296	
145237	123037	259073	215278	
145216	123018	259051	215261	
145196	122999	259029	215243	
145175	122979	259006	215226	
145154	122960	258984	215208	
145133	122941	258962	215191	
145112	122922	258939	215173	
145091	122902	258917	215156	
145071	122883	258895	215138	
145050	122864	258872	215121	
145029	122844	258850	215103	
145008	122825	258828	215086	
144987	122806	258806	215068	
144966	122787	258783	215051	
144946	122767	258761	215033	
144925	122748	258739	215016	
144904	122729	258716	214998	
144883	122710	258694	214981	
144862	122690	258672	214963	
144841	122671	258649	214946	
144821	122652	258627	214928	
144800	122632	258605	214911	
144779	122613	258582	214893	
144758	122594	258560	214876	
144737	122575	258538	214858	
144716	122555	258515	214841	
144696	122536	258493	214823	
144675	122517	258471	214806	
144654	122497	258448	214788	
144633	122478	258426	214771	
144612	122459	258404	214753	
144591	122440	258381	214736	
144570	122420	258359	214718	
144550	122401	258337	214701	
144529	122382	258315	214683	
144508	122362	258292	214666	
144487	122343	258270	214648	
144466	122324	258248	214630	
144445	122305	258225	214613	
144425	122285	258203	214595	
144404	122266	258181	214578	
144383	122247	258158	214560	
144362	122227	258136	214543	
144341	122208	258114	214525	
144320	122189	258091	214508	
144300	122170	258069	214490	
144279	122150	258047	214473	
144258	122131	258024	214455	
144237	122112	258002	214438	
144216	122093	257980	214420	
144195	122073	257957	214403	
144175	122054	257935	214385	
144154	122035	257913	214368	
144133	122015	257890	214350	
144112	121996	257868	214333	
144091	121977	257846	214315	
144070	121958	257823	214298	
144050	121938	257801	214280	
144029	121919	257779	214263	
144008	121900	257757	214245	
143987	121880	257734	214228	
143966	121861	257712	214210	
143945	121842	257690	214193	
143925	121823	257667	214175	
143904	121803	257645	214158	
143883	121784	257623	214140	
143862	121765	257600	214123	
143841	121745	257578	214105	
143820	121726	257556	214088	
143800	121707	257533	214070	
143779	121688	257511	214053	
143758	121668	257489	214035	
143737	121649	257466	214018	
143716	121630	257444	214000	
143695	121611	257422	213983	
143675	121591	257399	213965	
143654	121572	257377	213948	
143633	121553	257355	213930	
143612	121533	257332	213913	
143591	121514	257310	213895	
143570	121495	257288	213878	
143549	121476	257265	213860	
143529	121456	257243	213843	
143508	121437	257221	213825	
143487	121418	257199	213808	
143466	121398	257176	213790	
143445	121379	257154	213773	
143424	121360	257132	213755	
143404	121341	257109	213738	
143383	121321	257087	213720	
143362	121302	257065	213703	
143341	121283	257042	213685	
143320	121263	257020	213668	
143299	121244	256998	213650	
143279	121225	256975	213633	
143258	121206	256953	213615	
143237	121186	256931	213598	
143216	121167	256908	213580	
143195	121148	256886	213563	
143174	121128	256864	213545	
143154	121109	256841	213528	
143133	121090	256819	213510	
143112	121071	256797	213493	
143091	121051	256774	213475	
143070	121032	256752	213458	
143049	121013	256730	213440	
143029	120994	256707	213423	
143008	120974	256685	213405	
142987	120955	256663	213388	
142966	120936	256641	213370	
142945	120916	256618	213353	
142924	120897	256596	213335	
142904	120878	256574	213318	
142883	120859	256551	213300	
142862	120839	256529	213283	
142841	120820	256507	213265	
142820	120801	256484	213248	
142799	120781	256462	213230	
142779	120762	256440	213213	
142758	120743	256417	213195	
142737	120724	256395	213178	
142716	120704	256373	213160	
142695	120685	256350	213143	
142674	120666	256328	213125	
142653	120646	256306	213108	
142633	120627	256283	213090	
142612	120608	256261	213073	
142591	120589	256239	213055	
142570	120569	256216	213038	
142549	120550	256194	213020	
142528	120531	256172	213003	
142508	120511	256149	212985	
142487	120492	256127	212968	
142466	120473	256105	212950	
142445	120454	256083	212933	
142424	120434	256060	212915	
142403	120415	256038	212898	
142383	120396	256016	212880	
142362	120377	255993	212863	
142341	120357	255971	212845	
142320	120338	255949	212828	
142299	120319	255926	212810	
142278	120299	255904	212793	
142258	120280	255882	212775	
142237	120261	255859	212758	
142216	120242	255837	212740	
142195	120222	255815	212723	
142174	120203	255792	212705	
142153	120184	255770	212688	
142133	120164	255748	212670	
142112	120145	255725	212653	
142091	120126	255703	212635	
142070	120107	255681	212618	
142049	120087	255658	212600	
142028	120068	255636	212583	
142008	120049	255614	212565	
141987	120029	255591	212548	
141966	120010	255569	212530	
141945	119991	255547	212513	
141924	119972	255525	212495	
141903	119952	255502	212478	
141883	119933	255480	212460	
141862	119914	255458	212443	
141841	119894	255435	212425	
141820	119875	255413	212408	
141799	119856	255391	212390	
141778	119837	255368	212373	
141758	119817	255346	212355	
141737	119798	255324	212338	
141716	119779	255301	212320	
141695	119760	255279	212303	
141674	119740	255257	212285	
141653	119721	255234	212268	
141632	119702	255212	212250	
141612	119682	255190	212233	
141591	119663	255167	212215	
141570	119644	255145	212198	
141549	119625	255123	212180	
141528	119605	255100	212163	
141507	119586	255078	212145	
141487	119567	255056	212128	
141466	119547	255033	212110	
141445	119528	255011	212093	
141424	119509	254989	212075	
141403	119490	254967	212058	
141382	119470	254944	212040	
141362	119451	254922	212023	
141341	119432	254900	212005	
141320	119412	254877	211988	
141299	119393	254855	211970	
141278	119374	254833	211953	
141257	119355	254810	211935	
141237	119335	254788	211918	
141216	119316	254766	211900	
141195	119297	254743	211883	
141174	119277	254721	211865	
141153	119258	254699	211848	
141132	119239	254676	211830	
141112	119220	254654	211813	
141091	119200	254632	211795	
141070	119181	254609	211778	
141049	119162	254587	211760	
141028	119142	254565	211743	
141007	119123	254542	211725	
140987	119104	254520	211708	
140966	119085	254498	211690	
140945	119065	254475	211673	
140924	119046	254453	211655	
140903	119027	254431	211638	
140882	119008	254409	211620	
140862	118988	254386	211603	
140841	118969	254364	211585	
140820	118950	254342	211568	
140799	118930	254319	211550	
140778	118911	254297	211533	
140757	118892	254275	211515	
140737	118873	254252	211498	
140716	118853	254230	211480	
140695	118834	254208	211463	
140674	118815	254185	211445	
140653	118795	254163	211428	
140632	118776	254141	211410	
140612	118757	254118	211393	
140591	118738	254096	211375	
140570	118718	254074	211358	
140549	118699	254051	211340	
140528	118680	254029	211323	
140507	118660	254007	211305	
140486	118641	253984	211288	
140466	118622	253962	211270	
140445	118603	253940	211253	
140424	118583	253917	211235	
140403	118564	253895	211218	
140382	118545	253873	211200	
140361	118525	253851	211183	
140341	118506	253828	211165	
140320	118487	253806	211148	
140299	118468	253784	211130	
140278	118448	253761	211113	
140257	118429	253739	211095	
140236	118410	253717	211078	
140216	118390	253694	211060	
140195	118371	253672	211043	
140174	118352	253650	211025	
140153	118333	253627	211008	
140132	118313	253605	210990	
140111	118294	253583	210973	
140091	118275	253560	210955	
140070	118255	253538	210938	
140049	118236	253516	210920	
140028	118217	253493	210903	
140007	118198	253471	210885	
139986	118178	253449	210868	
139966	118159	253426	210850	
139945	118140	253404	210833	
139924	118121	253382	210815	
139903	118101	253359	210798	
139882	118082	253337	210780	
139861	118063	253315	210763	
139841	118043	253293	210745	
139820	118024	253270	210728	
139799	118005	253248	210710	
139778	117986	253226	210693	
139757	117966	253203	210675	
139736	117947	253181	210658	
139716	117928	253159	210640	
139695	117908	253136	210623	
139674	117889	253114	210605	
139653	117870	253092	210588	
139632	117851	253069	210570	
139611	117831	253047	210553	
139591	117812	253025	210535	
139570	117793	253002	210518	
139549	117773	252980	210500	
139528	117754	252958	210483	
139507	117735	252935	210465	
139486	117716	252913	210448	
139466	117696	252891	210430	
139445	117677	252868	210413	
139424	117658	252846	210395	
139403	117638	252824	210378	
139382	117619	252801	210360	
139361	117600	252779	210343	
139341	117581	252757	210325	
139320	117561	252735	210308	
139299	117542	252712	210290	
139278	117523	252690	210273	
139257	117503	252668	210255	
139236	117484	252645	210238	
139216	117465	252623	210220	
139195	117446	252601	210203	
139174	117426	252578	210185	
139153	117407	252556	210168	
139132	117388	252534	210150	
139111	117368	252511	210133	
139091	117349	252489	210115	
139070	117330	252467	210098	
139049	117311	252444	210080	
139028	117291	252422	210063	
139007	117272	252400	210045	
138986	117253	252377	210028	
138965	117233	252355	210010	
